date,date,last,open,high,low,vol,var_%,close
2012-01-01,2012-01-01,"5,3",4.7,5.5,4.6,108.51,11.65,5.3
2012-01-02,2012-01-02,"5,2",5.3,5.5,4.8,69.15,-0.95,5.2
2012-01-03,2012-01-03,"4,9",5.2,5.3,4.7,125.17,-6.51,4.9
2012-01-04,2012-01-04,"5,6",4.9,5.7,4.8,131.17,14.14,5.6
2012-01-05,2012-01-05,"6,9",5.6,7.2,5.6,182.33,24.78,6.9
2012-01-06,2012-01-06,"6,7",6.9,7.2,6.1,218.08,-3.6,6.7
2012-01-07,2012-01-07,"6,8",6.7,7.0,6.4,48.39,1.64,6.8
2012-01-08,2012-01-08,"7,1",6.8,7.2,6.7,57.19,4.41,7.1
2012-01-09,2012-01-09,"6,3",7.1,7.2,5.8,148.41,-10.97,6.3
2012-01-10,2012-01-10,"6,4",6.3,6.9,6.0,110.21,0.0,6.4
2012-01-11,2012-01-11,"6,9",6.4,7.1,6.4,99.44,8.49,6.9
2012-01-12,2012-01-12,"6,8",6.9,7.0,6.3,140.12,-1.45,6.8
2012-01-13,2012-01-13,"6,4",6.8,6.8,6.4,60.23,-5.74,6.4
2012-01-14,2012-01-14,"6,8",6.4,6.9,6.2,141.9,5.3,6.8
2012-01-15,2012-01-15,"7,0",6.8,7.1,6.7,62.23,3.7,7.0
2012-01-16,2012-01-16,"6,7",7.0,7.2,6.5,122.67,-4.57,6.7
2012-01-17,2012-01-17,"5,6",6.7,6.9,4.6,213.41,-16.17,5.6
2012-01-18,2012-01-18,"5,9",5.6,6.9,5.1,226.68,5.71,5.9
2012-01-19,2012-01-19,"6,4",5.9,6.4,5.9,114.82,7.43,6.4
2012-01-20,2012-01-20,"6,5",6.4,6.6,6.3,66.79,2.04,6.5
2012-01-21,2012-01-21,"6,2",6.5,6.6,6.1,64.76,-4.78,6.2
2012-01-22,2012-01-22,"6,3",6.2,6.4,6.1,44.89,2.1,6.3
2012-01-23,2012-01-23,"6,4",6.3,6.4,6.2,17.69,0.79,6.4
2012-01-24,2012-01-24,"6,3",6.4,6.4,6.2,35.66,-1.1,6.3
2012-01-25,2012-01-25,"5,8",6.3,6.3,5.5,133.12,-8.59,5.8
2012-01-26,2012-01-26,"5,3",5.8,5.9,5.3,123.95,-7.13,5.3
2012-01-27,2012-01-27,"5,3",5.3,5.5,5.1,115.57,-0.94,5.3
2012-01-28,2012-01-28,"5,6",5.3,5.8,5.3,89.71,6.43,5.6
2012-01-29,2012-01-29,"5,4",5.6,5.7,5.3,46.43,-4.44,5.4
2012-01-30,2012-01-30,"5,5",5.4,5.6,5.4,42.3,2.04,5.5
2012-01-31,2012-01-31,"5,5",5.5,5.7,5.4,48.3,0.0,5.5
2012-02-01,2012-02-01,"6,1",5.5,6.2,5.5,115.52,10.95,6.1
2012-02-02,2012-02-02,"6,1",6.1,6.2,5.8,54.55,0.0,6.1
2012-02-03,2012-02-03,"6,0",6.1,6.1,5.7,59.28,-2.3,6.0
2012-02-04,2012-02-04,"5,9",6.0,6.0,5.8,20.62,-1.51,5.9
2012-02-05,2012-02-05,"5,7",5.9,5.9,5.4,120.34,-3.07,5.7
2012-02-06,2012-02-06,"5,4",5.7,5.7,5.4,90.26,-4.22,5.4
2012-02-07,2012-02-07,"5,7",5.4,5.8,5.4,72.75,4.4,5.7
2012-02-08,2012-02-08,"5,6",5.7,5.8,5.3,237.94,-1.58,5.6
2012-02-09,2012-02-09,"5,8",5.6,5.9,5.5,89.95,4.11,5.8
2012-02-10,2012-02-10,"5,9",5.8,6.0,5.8,39.31,1.37,5.9
2012-02-11,2012-02-11,"5,6",5.9,6.0,5.5,69.71,-5.25,5.6
2012-02-12,2012-02-12,"5,5",5.6,5.8,5.4,81.92,-1.61,5.5
2012-02-13,2012-02-13,"5,3",5.5,5.7,5.2,170.21,-4.54,5.3
2012-02-14,2012-02-14,"4,5",5.3,5.4,4.2,297.57,-15.21,4.5
2012-02-15,2012-02-15,"4,3",4.5,4.9,4.2,161.8,-2.91,4.3
2012-02-16,2012-02-16,"4,3",4.3,4.4,3.9,166.6,-1.39,4.3
2012-02-17,2012-02-17,"4,4",4.3,4.8,4.2,135.95,3.28,4.4
2012-02-18,2012-02-18,"4,2",4.4,4.5,4.1,70.41,-4.31,4.2
2012-02-19,2012-02-19,"4,4",4.2,4.5,4.2,62.37,4.03,4.4
2012-02-20,2012-02-20,"4,4",4.4,4.5,4.3,37.3,0.0,4.4
2012-02-21,2012-02-21,"4,3",4.4,4.4,4.2,51.79,-2.06,4.3
2012-02-22,2012-02-22,"4,4",4.3,4.5,4.3,103.84,3.51,4.4
2012-02-23,2012-02-23,"5,0",4.4,5.2,4.4,164.31,13.35,5.0
2012-02-24,2012-02-24,"5,0",5.0,5.1,4.8,89.83,0.0,5.0
2012-02-25,2012-02-25,"4,8",5.0,5.1,4.7,86.16,-5.17,4.8
2012-02-26,2012-02-26,"4,9",4.8,5.1,4.8,70.04,3.14,4.9
2012-02-27,2012-02-27,"5,0",4.9,5.0,4.9,29.37,0.0,5.0
2012-02-28,2012-02-28,"4,9",5.0,5.0,4.7,62.69,-1.81,4.9
2012-02-29,2012-02-29,"4,9",4.9,4.9,4.8,26.54,0.0,4.9
2012-03-01,2012-03-01,"4,9",4.9,5.0,4.9,44.18,1.23,4.9
2012-03-02,2012-03-02,"4,7",4.9,4.9,4.5,130.77,-4.47,4.7
2012-03-03,2012-03-03,"4,6",4.7,4.8,4.5,40.08,-1.91,4.6
2012-03-04,2012-03-04,"4,8",4.6,4.9,4.6,58.83,4.56,4.8
2012-03-05,2012-03-05,"5,0",4.8,5.1,4.8,65.83,3.32,5.0
2012-03-06,2012-03-06,"5,0",5.0,5.1,4.9,44.53,0.0,5.0
2012-03-07,2012-03-07,"4,9",5.0,5.1,4.8,46.17,0.0,4.9
2012-03-08,2012-03-08,"4,9",4.9,5.0,4.8,58.09,0.0,4.9
2012-03-09,2012-03-09,"4,9",4.9,4.9,4.8,32.72,-1.42,4.9
2012-03-10,2012-03-10,"4,8",4.9,4.9,4.8,28.07,0.0,4.8
2012-03-11,2012-03-11,"4,9",4.8,5.0,4.8,42.44,1.66,4.9
2012-03-12,2012-03-12,"4,9",4.9,4.9,4.9,22.05,0.0,4.9
2012-03-13,2012-03-13,"5,3",4.9,5.4,4.9,127.33,7.77,5.3
2012-03-14,2012-03-14,"5,4",5.3,5.4,5.3,62.89,2.09,5.4
2012-03-15,2012-03-15,"5,3",5.4,5.4,5.3,41.08,-0.93,5.3
2012-03-16,2012-03-16,"5,3",5.3,5.4,5.3,32.72,0.0,5.3
2012-03-17,2012-03-17,"5,2",5.3,5.4,5.2,39.1,-2.25,5.2
2012-03-18,2012-03-18,"5,3",5.2,5.3,5.2,22.86,1.15,5.3
2012-03-19,2012-03-19,"4,7",5.3,5.3,4.5,188.89,-11.17,4.7
2012-03-20,2012-03-20,"4,8",4.7,4.9,4.6,66.34,3.2,4.8
2012-03-21,2012-03-21,"4,8",4.8,4.9,4.8,46.44,0.0,4.8
2012-03-22,2012-03-22,"4,7",4.8,4.9,4.6,58.07,-2.29,4.7
2012-03-23,2012-03-23,"4,7",4.7,4.8,4.6,54.13,0.0,4.7
2012-03-24,2012-03-24,"4,7",4.7,4.7,4.6,39.07,0.0,4.7
2012-03-25,2012-03-25,"4,6",4.7,4.7,4.3,71.56,-2.78,4.6
2012-03-26,2012-03-26,"4,6",4.6,4.7,4.5,69.84,1.54,4.6
2012-03-27,2012-03-27,"4,8",4.6,4.8,4.5,73.43,4.11,4.8
2012-03-28,2012-03-28,"4,8",4.8,4.8,4.7,38.02,0.0,4.8
2012-03-29,2012-03-29,"4,8",4.8,4.9,4.7,37.98,0.0,4.8
2012-03-30,2012-03-30,"4,9",4.8,4.9,4.7,39.07,1.04,4.9
2012-03-31,2012-03-31,"4,9",4.9,4.9,4.8,35.53,0.0,4.9
2012-04-01,2012-04-01,"4,8",4.9,4.9,4.7,35.95,-1.63,4.8
2012-04-02,2012-04-02,"5,0",4.8,5.1,4.8,80.66,2.9,5.0
2012-04-03,2012-04-03,"4,9",5.0,5.0,4.8,78.48,0.0,4.9
2012-04-04,2012-04-04,"4,9",4.9,5.0,4.9,51.04,0.0,4.9
2012-04-05,2012-04-05,"4,9",4.9,4.9,4.9,33.81,0.0,4.9
2012-04-06,2012-04-06,"4,9",4.9,5.0,4.9,58.21,0.0,4.9
2012-04-07,2012-04-07,"4,7",4.9,4.9,4.7,80.95,-5.25,4.7
2012-04-08,2012-04-08,"4,8",4.7,4.8,4.6,41.97,2.13,4.8
2012-04-09,2012-04-09,"4,9",4.8,4.9,4.7,39.24,1.67,4.9
2012-04-10,2012-04-10,"4,8",4.9,4.9,4.8,53.1,0.0,4.8
2012-04-11,2012-04-11,"4,9",4.8,5.0,4.8,67.04,1.86,4.9
2012-04-12,2012-04-12,"4,9",4.9,4.9,4.8,46.37,0.0,4.9
2012-04-13,2012-04-13,"4,9",4.9,4.9,4.7,93.11,0.0,4.9
2012-04-14,2012-04-14,"5,0",4.9,5.0,4.9,63.89,0.0,5.0
2012-04-15,2012-04-15,"5,0",5.0,5.0,4.9,33.34,0.0,5.0
2012-04-16,2012-04-16,"4,9",5.0,5.0,4.9,31.16,0.0,4.9
2012-04-17,2012-04-17,"5,0",4.9,5.0,4.9,30.65,1.01,5.0
2012-04-18,2012-04-18,"5,1",5.0,5.2,5.0,79.13,2.81,5.1
2012-04-19,2012-04-19,"5,1",5.1,5.2,5.1,46.68,0.0,5.1
2012-04-20,2012-04-20,"5,3",5.1,5.5,5.1,104.07,4.09,5.3
2012-04-21,2012-04-21,"5,3",5.3,5.5,5.1,60.92,-1.68,5.3
2012-04-22,2012-04-22,"5,2",5.3,5.3,5.1,37.11,-1.14,5.2
2012-04-23,2012-04-23,"5,0",5.2,5.2,5.0,49.37,-4.62,5.0
2012-04-24,2012-04-24,"5,1",5.0,5.2,4.9,70.99,2.82,5.1
2012-04-25,2012-04-25,"5,1",5.1,5.2,5.0,35.64,0.0,5.1
2012-04-26,2012-04-26,"5,1",5.1,5.2,5.0,57.36,0.0,5.1
2012-04-27,2012-04-27,"5,1",5.1,5.1,5.0,25.87,0.0,5.1
2012-04-28,2012-04-28,"5,0",5.1,5.1,4.8,91.59,-2.54,5.0
2012-04-29,2012-04-29,"4,9",5.0,5.0,4.9,22.23,-1.61,4.9
2012-04-30,2012-04-30,"4,9",4.9,5.0,4.9,55.77,0.0,4.9
2012-05-01,2012-05-01,"5,0",4.9,5.0,4.9,36.68,1.01,5.0
2012-05-02,2012-05-02,"5,1",5.0,5.2,5.0,95.96,1.4,5.1
2012-05-03,2012-05-03,"5,1",5.1,5.2,5.0,35.42,1.18,5.1
2012-05-04,2012-05-04,"5,1",5.1,5.2,5.1,43.63,-1.17,5.1
2012-05-05,2012-05-05,"5,1",5.1,5.1,5.0,18.84,0.0,5.1
